nct_id,brief_title,official_title,study_type,phases,overall_status,start_date,completion_date,conditions,interventions,lead_sponsor,matched_queries,source_url
NCT05875532,Study of Progression to Progressive Fibrosing Interstitial Lung Disease (PF-ILD) Incidence/Management and Treatment,Incidence Probability of Progression to Progressive Fibrosing Interstitial Lung Diseases and Status of Management and Treatments in Patients With Fibrosing Interstitial Lung Diseases Other Than Idiopathic Pulmonary Fibrosis in Japan,OBSERVATIONAL,,COMPLETED,2023-04-20,2023-05-01,"Lung Diseases, Interstitial",,Boehringer Ingelheim,"""progressive fibrosing interstitial lung disease""; ""progressive-fibrosing interstitial lung disease""; PF-ILD",https://clinicaltrials.gov/study/NCT05875532
NCT05883293,Clinical Study of Allogeneic Fat Decellularized Active Protein in the Treatment of Pulmonary Fibrosis,Clinical Study of Allogeneic Fat Decellularized Active Protein in the Treatment of Pulmonary Fibrosis,INTERVENTIONAL,EARLY_PHASE1,ACTIVE_NOT_RECRUITING,2023-08-14,2026-08-31,Pulmonary Fibrosis,DRUG: Cell Free Fat Extract(CEFFE),Shanghai Ninth People's Hospital Affiliated to Shanghai Jiao Tong University,PF-ILD,https://clinicaltrials.gov/study/NCT05883293
NCT05890573,Efficacy of Bailing Capsule on Pulmonary Fibrosis After COVID-19,Efficacy of Bailing Capsule on Pulmonary Fibrosis After COVID-19,INTERVENTIONAL,NA,UNKNOWN,2024-04-16,2024-12-31,Pulmonary Fibrosis; COVID-19 Pneumonia,DRUG: Bailing capsule,"Second Affiliated Hospital, School of Medicine, Zhejiang University",PF-ILD,https://clinicaltrials.gov/study/NCT05890573
NCT05895409,A Multicenter Prospective Study of Risk Factors in Progressive Pulmonary Fibrosis,A Multicenter Prospective Study of Risk Factors in Progressive Pulmonary Fibrosis,OBSERVATIONAL,,RECRUITING,2023-07-27,2028-06-01,Interstitial Lung Disease,,Qianfoshan Hospital,"""progressive pulmonary fibrosis""; PF-ILD",https://clinicaltrials.gov/study/NCT05895409
NCT05914506,Hyperpolarized 129-Xenon MRI in Fibrosing Interstitial Lung Disease,Hyperpolarized 129-Xenon MRI in Fibrosing Interstitial Lung Disease,OBSERVATIONAL,,ACTIVE_NOT_RECRUITING,2023-10-05,2028-05-01,Progressive Fibrosing Interstitial Lung Disease,DIAGNOSTIC_TEST: Hyperpolarized xenon-129 MRI,University of Aarhus,"""progressive fibrosing interstitial lung disease""; ""progressive-fibrosing interstitial lung disease""; PF-ILD",https://clinicaltrials.gov/study/NCT05914506
NCT05943535,Study of the Efficacy and Safety of Inhaled Treprostinil in Subjects With Progressive Pulmonary Fibrosis (TETON-PPF),"A Randomized, Double-blind, Placebo-controlled, Multinational, Phase 3 Study of the Efficacy and Safety of Inhaled Treprostinil in Subjects With Progressive Pulmonary Fibrosis (TETON-PPF)",INTERVENTIONAL,PHASE3,RECRUITING,2023-10-30,2027-11,Progressive Pulmonary Fibrosis; Interstitial Lung Disease,DRUG: Placebo; DRUG: Inhaled Treprostinil; DEVICE: Treprostinil Ultrasonic Nebulizer,United Therapeutics,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT05943535
NCT06003426,"A Study to Evaluate the Efficacy, Safety, and Tolerability of BMS-986278 in Participants With Idiopathic Pulmonary Fibrosis","A Multicenter, Randomized, Double-blind, Placebo-controlled, Phase 3 Study to Evaluate the Efficacy, Safety, and Tolerability of BMS-986278 in Participants With Idiopathic Pulmonary Fibrosis",INTERVENTIONAL,PHASE3,ACTIVE_NOT_RECRUITING,2023-09-14,2027-06-04,Idiopathic Pulmonary Fibrosis,DRUG: BMS-986278; DRUG: BMS-986278 Placebo,Bristol-Myers Squibb,PF-ILD,https://clinicaltrials.gov/study/NCT06003426
NCT06025578,"A Study to Evaluate the Efficacy, Safety, and Tolerability of BMS-986278 in Participants With Progressive Pulmonary Fibrosis","A Multicenter, Randomized, Double-blind, Placebo-controlled, Phase 3 Study to Evaluate the Efficacy, Safety, and Tolerability of BMS-986278 in Participants With Progressive Pulmonary Fibrosis",INTERVENTIONAL,PHASE3,ACTIVE_NOT_RECRUITING,2023-10-25,2027-12-27,Progressive Pulmonary Fibrosis,DRUG: BMS-986278; DRUG: BMS-986278 Placebo,Bristol-Myers Squibb,"""progressive pulmonary fibrosis""; PF-ILD",https://clinicaltrials.gov/study/NCT06025578
NCT06097260,"Randomized, Double-blind Study of Efficacy and Safety of Bexotegrast (PLN-74809) for Idiopathic Pulmonary Fibrosis","A Randomized, Double-blind, Dose-ranging, Placebo-controlled Study to Evaluate the Efficacy and Safety of Bexotegrast (PLN-74809) for the Treatment of Idiopathic Pulmonary Fibrosis (BEACON-IPF)",INTERVENTIONAL,PHASE2,TERMINATED,2023-11-16,2025-04-04,Idiopathic Pulmonary Fibrosis,DRUG: PLN-74809; DRUG: Placebo,"Pliant Therapeutics, Inc.",PF-ILD,https://clinicaltrials.gov/study/NCT06097260
NCT06162884,Single Time Point Prediction as Earlier Diagnosis of Progressive Pulmonary Fibrosis,Imaging Signature of Progressive Pulmonary Fibrosis in Idiopathic Pulmonary Fibrosis and Non-IPF Interstitial Lung Diseases,OBSERVATIONAL,,RECRUITING,2024-11-06,2029-08-19,Pulmonary Fibrosis,,"University of California, Los Angeles","""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT06162884
NCT06191367,Effect of Aerobic Exercises Versus Incentive Spirometer Device on Post-covid Pulmonary Fibrosis Patients,Effect of Aerobic Exercises Versus Incentive Spirometer Device on Post-covid Pulmonary Fibrosis Patients,INTERVENTIONAL,NA,UNKNOWN,2022-02-01,2024-02,Lung Fibrosis Interstitial; Post-COVID-19 Syndrome,OTHER: Aerobic Exercises; DEVICE: Incentive Spirometer Device; OTHER: Traditional Chest Physiotherapy,McCarious Nahad Aziz Abdelshaheed Stephens,PF-ILD,https://clinicaltrials.gov/study/NCT06191367
NCT06200714,A Study Based on Medical Records in Spain That Looks at Diarrhoea Control in People With Pulmonary Fibrosis Who Are Taking Nintedanib,"Observational, Multicentre, Prospective, Real-world Post-authorization Safety Study Describing the Achievement of Nintedanib-associated DIArrhoea Control After 12 Weeks of Follow-up in Patients With Idiopathic puLmonary FIBrosis (IPF) and Progressive Pulmonary Fibrosis (Other Than IPF) in Spain: the DIALFIB Study",OBSERVATIONAL,,COMPLETED,2024-07-16,2025-04-29,Idiopathic Pulmonary Fibrosis; Diarrhoea,DRUG: Nintedanib,Boehringer Ingelheim,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT06200714
NCT06238622,A Follow-up Study to Test Long-term Treatment With Nerandomilast in People With Pulmonary Fibrosis Who Took Part in a Previous Study With Nerandomilast,An Open-label Extension Trial of the Long-term Safety and Efficacy of BI 1015550 Taken Orally in Patients With Idiopathic Pulmonary Fibrosis (IPF) and Progressive Pulmonary Fibrosis (PPF) (FIBRONEER™-ON),INTERVENTIONAL,PHASE3,RECRUITING,2024-05-06,2027-05-05,Idiopathic Pulmonary Fibrosis; Progressive Pulmonary Fibrosis,DRUG: Nerandomilast,Boehringer Ingelheim,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT06238622
NCT06251687,Application of Transbronchial Cryobiopsy in the Diagnosis of Progressive Pulmonary Fibrosis,Application of Transbronchial Cryobiopsy in the Diagnosis of Progressive Pulmonary Fibrosis：a Multicenter Prospective Study,INTERVENTIONAL,NA,RECRUITING,2024-02-01,2026-12-31,Pulmonary Fibrosis; Transbronchial Cryobiopsy,PROCEDURE: Transbronchial Cryobiopsy，TBLC; PROCEDURE: Transbronchial Lung Biopsy，TBLB,China-Japan Friendship Hospital,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT06251687
NCT06275295,A Retrospective Study of Transbronchial Cryobiopsy in the Diagnosis of Progressive Pulmonary Fibrosis,Application of Transbronchial Cryobiopsy in the Diagnosis of Progressive Pulmonary Fibrosis：a Multicenter Retrospective Study,OBSERVATIONAL,,UNKNOWN,2024-03-20,2024-12-31,Pulmonary Fibrosis; Transbronchial Cryobiopsy,,China-Japan Friendship Hospital,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT06275295
NCT06290635,Edmonton Dyspnea Inventory- Validation Study,Edmonton Dyspnea Inventory (EDI) in Interstitial Lung Diseases: Understanding Dyspnea Severity and Impact of EDI Use in Individuals With Interstitial Lung Disease,OBSERVATIONAL,,COMPLETED,2022-11-11,2025-01-31,ILD,DIAGNOSTIC_TEST: Breathlessness Assessment Tool,University of Alberta,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT06290635
NCT06329401,A Study Evaluating the Safety and Efficacy of Inhaled AP01 in Participants With Progressive Pulmonary Fibrosis,"A Randomized, Double-Blind, Placebo-Controlled, Phase 2b Study Evaluating the Safety and Efficacy of Pirfenidone Solution for Inhalation (AP01) in Participants With PPF",INTERVENTIONAL,PHASE2,ACTIVE_NOT_RECRUITING,2024-04-03,2027-06,"Pulmonary Fibrosis; Progressive Pulmonary Fibrosis; Pulmonary Fibrosis Secondary to Systemic Sclerosis; Pulmonary Fibrosis, Interstitial Lung Disease; Interstitial Lung Disease; Interstitial Lung Disease Due to Connective Tissue Disease (Disorder); Interstitial Lung Disease in Patients With Rheumatoid Arthritis; Interstitial Lung Disease With Progressive Fibrotic Phenotype in Diseases Classified Elsewhere; Hypersensitivity Pneumonitis; Interstitial Lung Disease With Systemic Sclerosis",DRUG: AP01; OTHER: Placebo,Avalyn Pharma Inc.,"""progressive fibrotic phenotype"" AND ""interstitial lung disease""; ""progressive pulmonary fibrosis""; PF-ILD",https://clinicaltrials.gov/study/NCT06329401
NCT06360094,A Study to Test Whether BI 1839100 Improves Cough in People With Idiopathic Pulmonary Fibrosis or Progressive Pulmonary Fibrosis,"A Phase IIa/IIb, Randomised, Double Blind, Placebo-controlled, Parallel-group Dose-finding Study to Examine the Efficacy and Safety of BI 1839100 Administered Orally Over a 12-week Treatment Period in Patients With Idiopathic Pulmonary Fibrosis or Progressive Pulmonary Fibrosis With Clinically Meaningful Cough",INTERVENTIONAL,PHASE2,TERMINATED,2024-08-28,2025-09-02,Idiopathic Pulmonary Fibrosis; Progressive Pulmonary Fibrosis,DRUG: BI 1839100; DRUG: Placebo,Boehringer Ingelheim,"""progressive pulmonary fibrosis""; PF-ILD",https://clinicaltrials.gov/study/NCT06360094
NCT06422884,A Phase 2 Trial of ENV-101 in Patients With Lung Fibrosis (WHISTLE-PF Trial),"A Phase 2, Multi-Center, Randomized, Double-Blind, Controlled Trial Evaluating the Safety and Efficacy of ENV-101 in Patients With Lung Fibrosis (WHISTLE-PF Trial)",INTERVENTIONAL,PHASE2,ACTIVE_NOT_RECRUITING,2024-11-15,2026-10,Idiopathic Pulmonary Fibrosis; Progressive Fibrosing Interstitial Lung Disease,DRUG: ENV-101; DRUG: Placebo,"Endeavor Biomedicines, Inc.","""progressive fibrosing interstitial lung disease""; ""progressive-fibrosing interstitial lung disease""; PF-ILD",https://clinicaltrials.gov/study/NCT06422884
NCT06476470,Taiwan Interstitial Lung Disease Multi-center Investigation and Registry,"A Prospective Multi-center Registry for Fibrotic Lung Disease, Focusing on Clinical Phenotype, Physical Parameters, Image Analysis, and Precision Medicine in Taiwan",OBSERVATIONAL,,RECRUITING,2024-03-10,2035-12-31,Interstitial Lung Disease; Comorbidities and Coexisting Conditions; Pulmonary Arterial Hypertension; Treatment Adherence; Function Impaired Respiratory,,Taichung Veterans General Hospital,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT06476470
NCT06485635,Real-life-persistence to Antifibrotic Treatments,Real-life-Persistence to Antifibrotic Treatments,OBSERVATIONAL,,COMPLETED,2024-10-16,2026-04-07,Idiopathic Pulmonary Fibrosis,DRUG: Nintedanib; DRUG: Pirfenidone,Boehringer Ingelheim,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT06485635
NCT06532071,Advanced Imaging for Pulmonary Fibrosis,Advanced Imaging for Pulmonary Fibrosis,INTERVENTIONAL,PHASE2,RECRUITING,2025-01-21,2028-12-31,Pulmonary Fibrosis,DRUG: [68Ga]CBP8; DRUG: Gadoterate Meglumine,Peter Caravan,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT06532071
NCT06572384,A Study of the Efficacy and Safety of Belimumab in Adults With Interstitial Lung Disease Associated With Connective Tissue Disease,"A Phase 3, Randomized, Double-Blind, Placebo-Controlled, Parallel Group Study to Evaluate the Efficacy and Safety of Belimumab Administered Subcutaneously in Adults With Interstitial Lung Disease (ILD) Associated With Connective Tissue Disease (CTD)",INTERVENTIONAL,PHASE3,RECRUITING,2024-09-11,2028-12-13,"Lung Diseases, Interstitial",BIOLOGICAL: Belimumab; OTHER: Placebo,GlaxoSmithKline,PF-ILD,https://clinicaltrials.gov/study/NCT06572384
NCT06574581,ADSCs Therapy in Patients With CTD-ILD,Allogenic Adipose Tissue Derived-MSCs Therapy in Patients With Connective Tissue Diseases-associated Interstitial Lung Disease(CTD-ILD): Phase I/IIa Clinical Trial,INTERVENTIONAL,PHASE1; PHASE2,RECRUITING,2024-08-20,2027-11-30,Connective Tissue Diseases; Interstitial Lung Disease,BIOLOGICAL: ADSC01,China Medical University Hospital,"""progressive fibrosing interstitial lung disease""; ""progressive-fibrosing interstitial lung disease""",https://clinicaltrials.gov/study/NCT06574581
NCT06618924,Digital Modeling of Thoracic CT and Pulmonary Fibrosis,Quantitative Multi-compartment Study by Thoracic CT Scanning in Progressive Pulmonary Fibrosis,OBSERVATIONAL,,ACTIVE_NOT_RECRUITING,2024-07-01,2030-07-01,Inspiration Expiration Thoracic TDM Sequences of Patients With Diffuse Interstitial Lung Disease (DIP),,Assistance Publique - Hôpitaux de Paris,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT06618924
NCT06644144,P4O2 ILD Extension,"Early Identification of Progressive Pulmonary Fibrosis, Precision Medicine for More Oxygen - ILD Extension.",OBSERVATIONAL,,RECRUITING,2024-11-01,2031-10-01,"Interstitial Lung Disease; Pulmonary Fibrosis; Interstitial Lung Fibrosis; IPF; Pulmonary Fibrosis, Idiopathic; Pulmonary Fibrosis Idiopathic Familial; Chronic Hypersensitivity Pneumonitis; Unclassifiable ILD; Idiopathic NSIP; CTD-ILD",OTHER: No Interventions,"Amsterdam UMC, location VUmc","""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT06644144
NCT06674148,"A Randomized, Double-Blind, Placebo-Controlled, Multicenter Study of the Efficacy and Safety of Qifangfeixian Granules in the Treatment of Connective Tissue Disease-Associated Interstitial Lung Disease (CTD-ILD)","A Randomized, Double-Blind, Placebo-Controlled, Multicenter Study of the Efficacy and Safety of Qifangfeixian Granules in the Treatment of Connective Tissue Disease-Associated Interstitial Lung Disease (CTD-ILD)",INTERVENTIONAL,PHASE2; PHASE3,RECRUITING,2024-10-25,2027-06-01,Interstitial Lung Disease; Qifangfeixian Granules,DRUG: Qifangfeixian granules; OTHER: Placebo,Huilan Zhang,PF-ILD,https://clinicaltrials.gov/study/NCT06674148
NCT06692738,A Global Phase III Study of Rilvegostomig or Pembrolizumab Plus Chemotherapy for First-Line Treatment of Locally Advanced or Metastatic Squamous Non-small Cell Lung Cancer (NSCLC),"A Phase III, Randomized, Double-blind, Multicenter, Global Study of Rilvegostomig or Pembrolizumab in Combination With Platinum-based Chemotherapy for the First-line Treatment of Patients With Locally Advanced or Metastatic Squamous Non-small Cell Lung Cancer Whose Tumors Express PD-L1 (ARTEMIDE-Lung02)",INTERVENTIONAL,PHASE3,RECRUITING,2024-11-18,2030-07-01,Non-small Cell Lung Cancer,DRUG: Rilvegostomig; DRUG: Pembrolizumab; DRUG: Carboplatin; DRUG: Paclitaxel; DRUG: Nab-paclitaxel,AstraZeneca,PF-ILD,https://clinicaltrials.gov/study/NCT06692738
NCT06702228,Precision Diagnosis and Care for Families With Pulmonary Fibrosis in Ireland,Precision Diagnosis and Care for Families With Pulmonary Fibrosis in Ireland [PRECISE-PF],OBSERVATIONAL,,RECRUITING,2021-09-28,2028-04-01,Connective Tissue Diseases; Interstitial Lung Disease; Idiopathic Pulmonary Fibrosis; Familial Idiopathic Pulmonary Fibrosis; Pulmonary Fibrosis; Pulmonary Fibrosis Interstitial,DIAGNOSTIC_TEST: Six minute walk test (6MWT); DIAGNOSTIC_TEST: Computer-tomography of the thorax (CT Thorax); OTHER: Quality of life questionnaires.; DIAGNOSTIC_TEST: Genetic Testing; DIAGNOSTIC_TEST: Spirometry; DIAGNOSTIC_TEST: Serology; OTHER: Other Quality of Life Questionnaires; OTHER: PatientMPower Home Monitoring App,"Royal College of Surgeons, Ireland","""progressive pulmonary fibrosis""; PF-ILD",https://clinicaltrials.gov/study/NCT06702228
NCT06732674,Home Based Clinical Management of Interstitial Lung Disease in Systemic Rheumatic Diseases,"A 54-week, Multi-centre, 2-arm, Randomised Controlled Trial to Assess Home Monitoring for Lung Function and Patient Reported Outcome Measurements Vs. Usual Care in RheuMatic Disease-associated Interstitial Lung Disease: the RMD-mILDer Trial",INTERVENTIONAL,NA,RECRUITING,2024-12-16,2028-02-28,Interstitial Lung Disease with Progressive Fibrotic Phenotype in Diseases Classified Elsewhere; Systemic Sclerosis Pulmonary; Dermatomyositis; Rheumatoid Arthritis; Sjogren Syndrome with Lung Involvement; Connective Tissue Diseases,DIAGNOSTIC_TEST: A home monitoring strategy with event driven management,Oslo University Hospital,"""progressive fibrotic phenotype"" AND ""interstitial lung disease""; ""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT06732674
NCT06747923,SB17170 Phase 2 Trial in IPF Patients,"A Randomized, Double-blind, Placebo-controlled, Parallel, Multicenter, Exploratory Phase IIa Clinical Trial to Assess the Efficacy, Safety, Tolerability, and Pharmacokinetic and Pharmacodynamic Properties of SB17170 in Idiopathic Pulmonary Fibrosis (IPF) Patients.",INTERVENTIONAL,PHASE2,RECRUITING,2025-01-27,2026-10-31,IPF; Idiopathic Pulmonary Fibrosis; Idiopathic Pulmonary Fibrosis (IPF),DRUG: SB17170; DRUG: Placebo,SPARK Biopharma,PF-ILD,https://clinicaltrials.gov/study/NCT06747923
NCT06751069,Home-based Pulmonary Rehabilitation and Health Coaching in Patients With Fibrotic Interstitial Lung Disease,Home-based Pulmonary Rehabilitation and Health Coaching in Patients With Fibrotic Interstitial Lung Disease: A Prospective Pragmatic Randomized Waitlist-Controlled Trial,INTERVENTIONAL,NA,RECRUITING,2025-03-03,2030-09-30,Lung Fibrosis; Lung Interstitial Disease,BEHAVIORAL: Home-based Pulmonary Rehab,Mayo Clinic,PF-ILD,https://clinicaltrials.gov/study/NCT06751069
NCT06821464,A Trial of HRS-9813 in Healthy Subjects,"Safety, Tolerability and Pharmacokinetics of HRS-9813 After Multiple Oral Administration in Healthy Subjects-A Phase I Clinical Study",INTERVENTIONAL,PHASE1,COMPLETED,2025-02-17,2025-07-27,Idiopathic Pulmonary Fibrosis/Progressive Pulmonary Fibrosis,DRUG: HRS-9813; DRUG: HRS-9813,"Guangdong Hengrui Pharmaceutical Co., Ltd","""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT06821464
NCT06853236,Functional Incremental Stepping in Place Test (F-IST) Validation,"A Cardiorespiratory Fitness Test for Acute Illness: Validity, Reliability, and Clinical Utility of Functional Incremental Stepping-in-Place Test",OBSERVATIONAL,,RECRUITING,2024-07-02,2027-02-27,Intensive Care Medicine; Acute Care Medical,,Kirby Mayer,PF-ILD,https://clinicaltrials.gov/study/NCT06853236
NCT06855329,PRospective phenotypIng and Multi-omic Endotyping of Progressive Pulmonary Fibrosis,PRIME-PPF: PRospective phenotypIng and Multi-omic Endotyping of Progressive Pulmonary Fibrosis,OBSERVATIONAL,,RECRUITING,2025-05-01,2029-12,Progressive Pulmonary Fibrosis; Interstitial Lung Disease,,"University of Massachusetts, Worcester","""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT06855329
NCT06883448,Implementation of Home Monitoring in Patients With Pulmonary Fibrosis,The SUITS Study: Implementation of Home Monitoring in Patients With Pulmonary Fibrosis,INTERVENTIONAL,NA,RECRUITING,2024-10-02,2027-09-01,Pulmonary Fibrosis; Interstitial Lung Disease (ILD),COMBINATION_PRODUCT: Home monitoring care,Erasmus Medical Center,PF-ILD,https://clinicaltrials.gov/study/NCT06883448
NCT06885515,Telomeres Length in Israeli Fibrotic ILD Patients,Short Telomeres in Familial and Sporadic Fibrotic Interstitial Lung Diseases in Israel,OBSERVATIONAL,,ENROLLING_BY_INVITATION,2026-02,2028-12,Pulmonary Fibrosis,DIAGNOSTIC_TEST: leukocyte telomere length (LTL) will be measured using the Telomere Restriction Fragment (TRF) Analysis method,Barzilai Medical Center,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT06885515
NCT06912659,The BALANCE Study: A Study in Spain to Find Out Whether a Patient Support Program Helps People With Pulmonary Fibrosis Who Take Nintedanib,"Non-interventional Prospective Study in Patients With Pulmonary Fibrosis Treated With Nintedanib Participating in a Patient Support Program in Spain, to Describe Patient Satisfaction With the Program and to Monitor Quality of Life - BALANCE Study",OBSERVATIONAL,,ACTIVE_NOT_RECRUITING,2025-06-23,2026-12-23,Pulmonary Fibrosis,,Boehringer Ingelheim,PF-ILD,https://clinicaltrials.gov/study/NCT06912659
NCT06914713,Jin-shui Huan-xian Formula for Retarding the Decline of Pulmonary Function in IPF,Efficacy Evaluation of Jin-shui Huan-xian Formula in Retarding the Decline of Pulmonary Function in IPF,INTERVENTIONAL,NA,NOT_YET_RECRUITING,2025-08-01,2028-11-30,Idiopathic Pulmonary Fibrosis(IPF),DRUG: Jin-shui Huan-xian granule; DRUG: Jin-shui Huan-xian granule placebo,Henan University of Traditional Chinese Medicine,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT06914713
NCT06951217,An Extension Study of Subjects Who Received an Avalyn Inhaled Antifibrotic Agent (SAIL),"A Multinational, Long-Term, Safety and Tolerability, Open-Label Extension Study of Subjects Who Have Participated in Avalyn Pharma Studies of Inhaled Antifibrotic Agents (AP-LTE-008 [SAIL])",INTERVENTIONAL,PHASE2,RECRUITING,2025-04-17,2031-12-31,Progressive Pulmonary Fibrosis; Idiopathic Pulmonary Fibrosis (IPF),COMBINATION_PRODUCT: AP01,Avalyn Pharma Inc.,"""progressive pulmonary fibrosis""; PF-ILD",https://clinicaltrials.gov/study/NCT06951217
NCT06967805,WISPer: Evaluation of MTX-463 in Participants With Idiopathic Pulmonary Fibrosis (IPF),"A Phase 2 Randomized, Double-blind, Placebo-controlled Study of the Safety and Efficacy of MTX-463 in Participants With Idiopathic Pulmonary Fibrosis (IPF)",INTERVENTIONAL,PHASE2,RECRUITING,2025-05-05,2027-08,Idiopathic Pulmonary Fibrosis,BIOLOGICAL: MTX-463; OTHER: Placebo,Mediar Therapeutics,PF-ILD,https://clinicaltrials.gov/study/NCT06967805
NCT06974799,Metabolomic Biomarkers Evaluation in Pulmonary Fibrosis,Evaluation of Metabolomic Biomarkers in Pulmonary Fibrosis,OBSERVATIONAL,,COMPLETED,2023-05-05,2025-01-18,Pulmonary Fibrosis,DIAGNOSTIC_TEST: Fatty acids measurement,University of Campania Luigi Vanvitelli,PF-ILD,https://clinicaltrials.gov/study/NCT06974799
NCT06987266,Establishment of Diagnosis and Classification System for Lung Interstitial and Airway Diseases (LIAD),Establishment of Diagnosis and Classification System for Lung Interstitial and Airway Diseases (LIAD),OBSERVATIONAL,,NOT_YET_RECRUITING,2025-05-20,2028-11-30,Interstitial Lung Diseases (ILD); Airway Disease,OTHER: no intervention,Xiangya Hospital of Central South University,PF-ILD,https://clinicaltrials.gov/study/NCT06987266
NCT07019714,Daoyin Technique for Improving Exercise Endurance in IPF,Clinical Research on the Improvement of Exercise Endurance in Idiopathic Pulmonary Fibrosis by Daoyin Technique,INTERVENTIONAL,NA,NOT_YET_RECRUITING,2025-06-30,2028-12-30,Idiopathic Pulmonary Fibrosis,BEHAVIORAL: Daoyin Technique; BEHAVIORAL: Routine Comprehensive Training,Affiliated Hospital of Liaoning University of Traditional Chinese Medicine,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT07019714
NCT07080125,A Study Using a Disease Registry to Observe the Long-term Effects of Nintedanib in People With Scleroderma-related Lung Fibrosis,Non-interventional Post-authorization Effectiveness Study to Assess Long-term Outcomes of Nintedanib Treatment in Patients With Systemic Sclerosis Associated Interstitial Lung Disease (SSc-ILD),OBSERVATIONAL,,ACTIVE_NOT_RECRUITING,2025-06-17,2033-12-31,Interstitial Lung Diseases; Systemic Sclerosis Associated Interstitial Lung Disease,DRUG: Ofev®,Boehringer Ingelheim,PF-ILD,https://clinicaltrials.gov/study/NCT07080125
NCT07131150,Menstrual Blood-Derived Mesenchymal Stem Cell Injection (SC01009) in the Treatment of Idiopathic Pulmonary Fibrosis,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Phase II Clinical Study to Evaluate the Efficacy and Safety of Umbilical Cord Mesenchymal Stem Cell Injection (SC01009) in the Treatment of Idiopathic Pulmonary Fibrosis",INTERVENTIONAL,PHASE2,NOT_YET_RECRUITING,2025-08-31,2028-07-31,Idiopathic Pulmonary Fibrosis (IPF),BIOLOGICAL: SC01009 injection; BIOLOGICAL: Placebo Group(Vehicle),Ruijin Hospital,PF-ILD,https://clinicaltrials.gov/study/NCT07131150
NCT07138898,Immunosuppressant Management in Rheumatology Patients Undergoing Elective Total Shoulder Arthroplasty,Immunosuppressant Management in Rheumatology Patients Undergoing Elective Total Shoulder Arthroplasty,INTERVENTIONAL,PHASE2,RECRUITING,2025-12-12,2028-01,Rheumatic Disease,DRUG: Methotrexate; DRUG: Sulfasalazine; DRUG: Hydroxychloroquine; DRUG: Leflunomide; DRUG: Azathioprine; DRUG: Mycophenolate; DRUG: Cyclosporine; DRUG: Tacrolimus; DRUG: Etanercept; DRUG: Adalimumab; DRUG: Golimumab; DRUG: Certolizumab; DRUG: Infliximab; BIOLOGICAL: Rituximab; BIOLOGICAL: Belimumab; BIOLOGICAL: Tocilizumab; BIOLOGICAL: Anakinra; BIOLOGICAL: Canakinumab; BIOLOGICAL: Abatacept; BIOLOGICAL: Secukinumab; BIOLOGICAL: Ixekizumab; BIOLOGICAL: Bimekizumab; BIOLOGICAL: Ustekinumab; BIOLOGICAL: Guselkumab; BIOLOGICAL: Risankizumab; DRUG: Tofacitinib; DRUG: Upadacitinib,NYU Langone Health,PF-ILD,https://clinicaltrials.gov/study/NCT07138898
NCT07141810,Efficacy and Safety of Early Antifibrotic Therapy for Non-progressive Fibrotic Interstitial Lung Disease,Early Antifibrotic Therapy for f-ILD,INTERVENTIONAL,PHASE4,NOT_YET_RECRUITING,2025-10-01,2028-05-30,Fibrotic Interstitial Lung Disease,DRUG: Antifibrotic drugs (nidanib or pirfenidone),"Shanghai Pulmonary Hospital, Shanghai, China","""progressive fibrotic interstitial lung disease""",https://clinicaltrials.gov/study/NCT07141810
NCT07162870,Idiopathic Pulmonary Fibrosis Cohort of TCM,Idiopathic Pulmonary Fibrosis Cohort Studies of Chinese Medicine,OBSERVATIONAL,,NOT_YET_RECRUITING,2025-09-05,2028-11-30,Idiopathic Pulmonary Fibrosis (IPF),DRUG: Traditional Chinese medicine (TCM); DRUG: Non-traditional Chinese medicine (non-TCM),Henan University of Traditional Chinese Medicine,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT07162870
NCT07178392,Disease-syndrome Characteristics of IPF,Research on the Disease-syndrome Characteristics of Idiopathic Pulmonary Fibrosis,OBSERVATIONAL,,NOT_YET_RECRUITING,2025-09-15,2028-11-30,Idiopathic Pulmonary Fibrosis (IPF),,Henan University of Traditional Chinese Medicine,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT07178392
