nct_id,brief_title,official_title,study_type,phases,overall_status,start_date,completion_date,conditions,interventions,lead_sponsor,matched_queries,source_url
NCT05067517,Efficacy & Safety of Nintedanib in Patients With Progressive Fibrosing Coal Mine Dust-Induced Interstitial Lung Disease,"A Double Blind, Randomized, Placebo-controlled Trial Evaluating the Efficacy and Safety of Nintedanib Over 52 Weeks in Patients With Progressive Fibrosing Coal Mine Dust-Induced Interstitial Lung Disease (PF-CMD-ILD)",INTERVENTIONAL,PHASE3,WITHDRAWN,2021-11,2024-07,Progressive Fibrosing Interstitial Lung Disease,DRUG: Nintedanib; DRUG: Placebo,West Virginia University,"""progressive fibrosing interstitial lung disease""; ""progressive-fibrosing interstitial lung disease""; PF-ILD",https://clinicaltrials.gov/study/NCT05067517
NCT05074875,COVID-19 Respiratory Outcomes Registry,Post COVID-19 Hypoxemic Respiratory Failure Residual Pathophysiologic Outcomes,OBSERVATIONAL,,COMPLETED,2021-01-15,2023-05-09,Covid19,OTHER: Questionnaires and Patient Reported Outcomes (PROs); DIAGNOSTIC_TEST: Nasal Swab COVID-19 reverse transcription polymerase chain reaction test (RT-PCR); GENETIC: Blood Samples for Biomarkers; DIAGNOSTIC_TEST: High Resolution Computed Tomography; DIAGNOSTIC_TEST: Physical Exam and Vital Signs; DIAGNOSTIC_TEST: Medical Research Council Sum Score; DIAGNOSTIC_TEST: Hand Grip Strength; DIAGNOSTIC_TEST: Spirometry; DIAGNOSTIC_TEST: Diffusing Capacity of Carbon Monoxide; DIAGNOSTIC_TEST: 6 Minute Walk Test; DIAGNOSTIC_TEST: Sit to Stand (STS) Measurement,Weill Medical College of Cornell University,"""progressive pulmonary fibrosis""; PF-ILD",https://clinicaltrials.gov/study/NCT05074875
NCT05121779,Head-to-head Comparison of Diagnosis Value of Pulmonary Fibrosis on 68Ga-FAPI-04 and 18F-FDG PET-CT,Head-to-head Comparison of Diagnosis Value of Pulmonary Fibrosis on 68Ga-FAPI-04 and 18F-FDG PET-CT,INTERVENTIONAL,PHASE1,RECRUITING,2021-11-18,2025-12-31,Pulmonary Fibrosis,DRUG: 68Ga-FAPI; DRUG: 18F-FDG,Peking Union Medical College Hospital,PF-ILD,https://clinicaltrials.gov/study/NCT05121779
NCT05139719,A Study to Explore the Therapeutic Effect of HEC585 on Delaying Forced Vital Capacity (FVC) Decline and Tolerance in Progressive Fibrosing Interstitial Lung Disease (PF-ILD) Patients,"A Phase IIb, Multi-center, Randomized, Double Blinded, Placebo-controlled, Parallel-group Study to Evaluate the Efficacy and Safety of HEC585 Tablets in Patients With Progressive Fibrosing Interstitial Lung Disease",INTERVENTIONAL,PHASE2,RECRUITING,2023-02-15,2026-12,Progressive Fibrosing Interstitial Lung Disease (PF-ILD) / Progressive Pulmonary Fibrosis (PPF),DRUG: HEC585 dose A; DRUG: HEC585 dose B; DRUG: Placebo,"Sunshine Lake Pharma Co., Ltd.","""progressive fibrosing interstitial lung disease""; ""progressive pulmonary fibrosis""; ""progressive-fibrosing interstitial lung disease""; PF-ILD",https://clinicaltrials.gov/study/NCT05139719
NCT05151640,INCHANGE - Nintedanib for Changes in Cough and Dyspnea in Patients Suffering From Chronic Fibrosing Interstitial Lung Disease With a Progressive Phenotype in Everyday Clinical Practice: a Real-world Evaluation,Prospective Observational Investigation of Possible Correlations Between Change in FVC and Change in Cough or Dyspnea Scores Using the Living With Pulmonary Fibrosis Questionnaire (L-PF) Between Baseline and After Approximately 52 Weeks of Nintedanib Treatment in Patients Suffering From Chronic Fibrosing ILD With a Progressive Phenotype,OBSERVATIONAL,,COMPLETED,2023-02-08,2025-09-05,"Lung Diseases, Interstitial",DRUG: Nintedanib,Boehringer Ingelheim,PF-ILD,https://clinicaltrials.gov/study/NCT05151640
NCT05241275,Xenon MRI and Progressive ILD,XENON ILD: 129Xe MRI to Evaluate aNtifibrotic respOnse and progressioN in ILD,INTERVENTIONAL,PHASE2,ACTIVE_NOT_RECRUITING,2022-07-19,2026-08-31,Idiopathic Pulmonary Fibrosis; Progressive Pulmonary Fibrosis,DRUG: Hyperpolarized 129 Xenon Gas Comparing Progressive Pulmonary Fibrosis Treatment,Duke University,"""progressive pulmonary fibrosis""; PF-ILD",https://clinicaltrials.gov/study/NCT05241275
NCT05270668,Phase 2 Safety and Efficacy Study of Tulisokibart (MK-7240/PRA023) in Subjects With Systemic Sclerosis Associated With Interstitial Lung Disease (SSc-ILD) (MK-7240-007),"A Double Blind, Randomized, Placebo-Controlled Study to Evaluate the Efficacy and Safety of MK-7240/PRA023 in Subjects With Systemic Sclerosis Associated With Interstitial Lung Disease (SSc-ILD)",INTERVENTIONAL,PHASE2,ACTIVE_NOT_RECRUITING,2022-03-29,2029-07-31,Diffuse Cutaneous Systemic Sclerosis; Interstitial Lung Disease,DRUG: Tulisokibart; DIAGNOSTIC_TEST: Companion diagnostic ( CDx); DRUG: Placebo,"Prometheus Biosciences, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",PF-ILD,https://clinicaltrials.gov/study/NCT05270668
NCT05321069,A Study to Find Out Whether BI 1015550 Improves Lung Function in People With Idiopathic Pulmonary Fibrosis (IPF),"A Double Blind, Randomized, Placebo-controlled Trial Evaluating the Efficacy and Safety of BI 1015550 Over at Least 52 Weeks in Patients With Idiopathic Pulmonary Fibrosis (IPF)",INTERVENTIONAL,PHASE3,COMPLETED,2022-10-06,2024-12-17,Idiopathic Pulmonary Fibrosis,DRUG: BI 1015550; DRUG: Placebo,Boehringer Ingelheim,PF-ILD,https://clinicaltrials.gov/study/NCT05321069
NCT05321082,A Study to Find Out Whether BI 1015550 Improves Lung Function in People With Progressive Fibrosing Interstitial Lung Diseases (PF-ILDs),"A Double Blind, Randomized, Placebo-controlled Trial Evaluating the Efficacy and Safety of BI 1015550 Over at Least 52 Weeks in Patients With Progressive Fibrosing Interstitial Lung Diseases (PF-ILDs)",INTERVENTIONAL,PHASE3,COMPLETED,2022-11-16,2025-04-14,"Lung Diseases, Interstitial",DRUG: BI 1015550; DRUG: Placebo,Boehringer Ingelheim,"""progressive fibrosing interstitial lung disease""; ""progressive pulmonary fibrosis""; ""progressive-fibrosing interstitial lung disease""; PF-ILD",https://clinicaltrials.gov/study/NCT05321082
NCT05330312,Controlled Investigation to Evaluate Impact of dCBT on Psychological Symptom Burden in Adult Subjects With PF,"A Randomized, Controlled, Parallel-group Clinical Investigation Evaluating the Impact of Digital Cognitive Behavioural Therapy on Psychological Symptom Burden in Adults Diagnosed With Pulmonary Fibrosis",INTERVENTIONAL,NA,COMPLETED,2022-04-17,2023-11-10,Pulmonary Fibrosis; Anxiety,DEVICE: Digital cognitive behavioral therapy,Vicore Pharma AB,PF-ILD,https://clinicaltrials.gov/study/NCT05330312
NCT05331300,"A Study to Evaluate the Safety, Preliminary Efficacy, and Pharmacokinetic Properties of LASN01 in Healthy Subjects and in Patients With Pulmonary Fibrosis or Thyroid Eye Disease","A Phase 1/2a, Randomized, Double-blind, Placebo-controlled, Single and Multiple Ascending Dose Study to Determine the Safety, Tolerability, Preliminary Efficacy, Immunogenicity and Pharmacokinetic Properties of LASN01 in Healthy Subjects and in Patients With Pulmonary Fibrosis or Thyroid Eye Disease",INTERVENTIONAL,PHASE1; PHASE2,COMPLETED,2022-06-06,2024-11-27,Pulmonary Fibrosis; Thyroid Eye Disease,DRUG: LASN01; DRUG: LASN01; DRUG: Placebo; DRUG: Placebo,Lassen Therapeutics 1 PTY LTD,"""progressive fibrosing interstitial lung disease""; ""progressive-fibrosing interstitial lung disease""; PF-ILD",https://clinicaltrials.gov/study/NCT05331300
